Espèce_origin;Remplace par un qui existe déjà;remplace par un nouveau;eliminer ce nom;existe deux fois
?;NA;NA;eliminer ce nom;NA
??;NA;NA;eliminer ce nom;NA
Adonis-aestivalis;Adonis-annua;NA;NA;NA
Adonis-sp;Adonis-annua;NA;NA;NA
Aethusa-sp;Aethusa-cynapium;NA;NA;NA
Alchemilla-sp;NA;Aphanes-sp;NA;NA
Amaranthus-sp-;Amaranthus-sp;NA;NA;NA
Anchusa-arvensis;NA;Lycopsis-arvensis;NA;NA
Anthemis-altissima;Anthemis-arvensis;NA;NA;NA
Aquilegia-sp;Aquilega-vulgaris;NA;NA;NA
Arrhenatherum-bulbosum;NA;NA;eliminer ce nom;NA
Arrhenatherum-sp;Arrhenatherum-elatius;NA;NA;NA
Aster-sp;NA;NA;eliminer ce nom;NA
Aster-squamatus;NA;Symphyotrichum-squamatum;NA;NA
Avena-sterilis;NA;Avena-sativa-sterilis;NA;NA
Bifora-sp;Bifora-radians;NA;NA;NA
Bromus-hordeaceus-/mollis;Bromus-mollis;NA;NA;NA
Bryonia-cretica-dioica;NA;Bryonia-cretica;NA;NA
Bryonia-sp;NA;Bryonia-cretica;NA;NA
Buglossoides-arvensis;NA;Lithospermum-arvense;NA;NA
Buglossoides-arvensis-=-lithospermum-arvense;NA;Lithospermum-arvense;NA;NA
Calamintha-nepeta;Calamintha-sp;NA;NA;NA
Calamintha-sp;NA;NA;NA;NA
Capsella-rubella;Capsella-bursa-pastoris;NA;NA;NA
Caucalis-sp;NA;NA;eliminer ce nom;NA
Centaurea-paniculata;Centaurea-sp;NA;NA;NA
Chrysanthemum;Chrysanthemum-segetum;NA;NA;NA
Chrysanthemum-segetum-=-Glebionis-segetum;Chrysanthemum-segetum;NA;NA;NA
Chrysanthemum-sp;Chrysanthemum-segetum;NA;NA;NA
Cichorium-sp;Cichorium-intybus;NA;NA;NA
Colza(culture);Brassica-napus;NA;NA;NA
Coniza-sumatrensis;NA;Erigeron-sumatrensis;NA;NA
Conyza-sumatrensis;NA;Erigeron-sumatrensis;NA;NA
Coriandrum-sp;Bifora-radians;NA;NA;NA
Coronopus-sp;NA;Lepidium-sp;NA;NA
Crepis-vesicaria-taraxacifolia;Crepis-vesicaria;NA;NA;NA
Dactyle(culture);Dactylis-glomerata;NA;NA;NA
Dactylis-sp;Dactylis-glomerata;NA;NA;NA
Elytrigia-/Agropyron-repens;Elytrigia-repens;NA;NA;NA
Festuca-ovina;NA;NA;NA;doublon
Festuca-ovina/rubra;attribuer a rubra ou ovina selon le plus frequent;NA;NA;NA
Féverolles(culture);Vicia-faba;NA;NA;NA
Flypochaeris-glabra ?;NA;Hypochaeris-glabra;NA;NA
Fourrage(culture);NA;NA;eliminer ce nom;NA
Fraxinus-excelsior;NA;NA;eliminer ce nom;NA
Galactites-tomentosa;NA;NA;eliminer ce nom;NA
Galeopsis-angustifolia;Galeopsis-ladanum;NA;NA;NA
Galium-cruciata-(Cruciata-laevipes);Cruciata-laevipes;NA;NA;NA
Gentiana-cruciata;NA;NA;eliminer;NA
Helianthus-sp;Helianthus-annuus;NA;NA;NA
Hieracium-pilosella;Pilosella-officinarum;NA;NA;NA
Hieracium-sp;NA;NA;eliminer ce nom;NA
Hyacinthoides-/Jacinthus-non-scripta;NA;Hyacinthoides-non-scripta;NA;NA
Iris-sp;Iris-pseudacorus;NA;NA;NA
Lactuca-scariola;NA;NA;eliminer ce nom;NA
Lentille(culture);Fabaceae;NA;NA;NA
Leucanthemum-sp;Leucanthemum-vulgare;NA;NA;NA
Linaria-minor;Chaenorrhinum-minus;NA;NA;NA
Luzerne(culture);Medicago-sativa;NA;NA;NA
Lychnis-flos-cuculi;NA;NA;eliminer ce nom;NA
Maïs(culture);Zea-mays;NA;NA;NA
Malva-setigera;NA;Althea-hirsuta;NA;NA
Matricaria-camomilla;NA;Matricaria-chamomilla;NA;NA
Matricaria-recutita;Matricaria-chamomilla;NA;NA;NA
Millet(culture);Panicum-miliaceum;NA;NA;NA
Moha(culture-Setaria-italica);Setaria-italica;NA;NA;NA
Muscari-atlanticum;Muscari-neglectum;NA;NA;NA
Muscari-neglectum/atlanticum;Muscari-neglectum;NA;NA;NA
Muscari-neglectum-/atlanticum;Muscari-neglectum;NA;NA;NA
Ononis-spinosa/repens;Ononis-repens;NA;NA;NA
Ononis-spinosa-/repens;Ononis-repens;NA;NA;NA
Ononis-viscosa;Ononis-sp;NA;NA;NA
Orge(culture);Hordeum-vulgare;NA;NA;NA
Orobanche-uniflora;Orocbanche-sp;NA;NA;NA
Phalari-sp;NA;NA;eliminer ce nom;NA
Phalaris-paradoxa-;Phalaris-paradoxa;NA;NA;NA
Phleum-pratense;Phleum sp;NA;NA;NA
Poa-glauca;NA;NA;eliminer ce nom;NA
Pois(culture);Pisum-sativum;NA;NA;NA
Polygonum-amphibium;Polygonum-persicaria;NA;NA;NA
Prairie(culture);NA;NA;eliminer ce nom;NA
Pulicaria-sp;Pulicaria-dysenterica;NA;NA;NA
Pulmonaria-officinalis;Pulmonaria-sp;NA;NA;NA
Ranunculus-polyanthemos;Ranunculus-sp;NA;NA;NA
Ray-Grass(culture);Lolium-perenne;NA;NA;NA
Repousse-Lupinus;Lupinus-sp;NA;NA;NA
Repousses-Brassica-napus-(colza);Brassica-napus;NA;NA;NA
Repousse-Setaria-italica-maxima-(moha);Setaria-italica;NA;NA;NA
Saponaria-sp;NA;NA;eliminer ce nom;NA
Scandix-sp;Scandix-pecten-veneris;NA;NA;NA
Silene-/Lychnis-flos-cuculi;Lychnis-flos-cuculi;NA;NA;NA
Silene-alba/latifolia;Silene-latifolia-alba;NA;NA;NA
Stachys-annua/officinalis;Stachys-annua;NA;NA;NA
Stachys-annua-et-officinalis;Stachys-annua;NA;NA;NA
Stachys-officinalis;NA;Betonica-officinalis;NA;NA
Stellaria-aquatica;NA;Myosoton-aquaticum;NA;NA
Tabac(culture);Nicotiana-tabacum;NA;NA;NA
Taraxacum-officinale;NA;Taraxacum-ruderale;NA;NA
Taraxacum-sp;NA;Taraxacum-ruderale;NA;NA
Thlaspi-perfoliatum;NA;Microthalspi-perfoliata;NA;NA
Tordylium-sp;Tordylium-maximum;NA;NA;NA
Tournesol(culture);Helianthus-annuus;NA;NA;NA
Tricitcum-sp;NA;NA;eliminer ce nom;NA
Trifolium-fragiferum;Trifolium-fragiferum;NA;NA;NA
Trisetum-sp;Trisetum-flavescens;NA;NA;NA
Tussilago-sp;Tussilago-farfara;NA;NA;NA
Valerianella-sp.;Valerianella-sp;NA;NA;NA
Verbascum-sinuatum;NA;NA;eliminer ce nom;NA
Vicia-angustifolia;Vicia-sativa;NA;NA;NA
Vicia-faba=repousses-féverolles;Vicia-faba;NA;NA;NA
Vignes(culture);Z-Arbre;NA;NA;NA
Viola arvensis;Viola-arvensis/tricolor;NA;NA;NA
Viola-hirta/hirsuta;Viola-hirta;NA;NA;NA
Viola-poilue;Viola-hirta;NA;NA;NA
x-No-Species;NONE;NA;NA;NA
Zea-mays-;Zea-mays;NA;NA;NA
"z-inconnu-""de-alois""";NA;NA;eliminer ce nom;NA
z-inconnu-1-feuille;NA;NA;eliminer ce nom;NA
z-inconnu-Apiacée;Apiaceae;NA;NA;NA
z-inconnu-Apiacée-poilue;Apiaceae;NA;NA;NA
z-inconnu-Apiacée-velue;Apiaceae;NA;NA;NA
z-inconnu-arabido;Arabidopsis-sp;NA;NA;NA
z-inconnu-Astéraceae;Asteraceae;NA;NA;NA
z-inconnu-Astéraceae-ovale;Asteraceae;NA;NA;NA
z-inconnu-Astéracée;Asteraceae;NA;NA;NA
z-inconnu-brassicacé;Brassiceae;NA;NA;NA
z-inconnu-Brassicaceae;Brassicaceae;NA;NA;NA
z-inconnu-capsella;Capsella-bursa-pastoris;NA;NA;NA
z-inconnu-Caryophyllaceae;Caryophyllaceae;NA;NA;NA
z-inconnu-Certy;NA;NA;eliminer ce nom;NA
z-inconnu-Chardon-epine;NA;NA;eliminer ce nom;NA
z-inconnu-chenopode-ficelle;Chenopodium-sp;NA;NA;NA
z-inconnu-colza-(silene);Silene-sp;NA;NA;NA
z-inconnu-cotyledon-nervuré;NA;NA;eliminer ce nom;NA
z-inconnu-cotyledon-poilu;NA;NA;eliminer ce nom;NA
z-inconnu-cotylédons;NA;NA;eliminer ce nom;NA
z-inconnu-Cotylédon-X;NA;NA;eliminer ce nom;NA
z-inconnu-Crepis;Crepis-sp;NA;NA;NA
z-inconnu-Cucurbitacée;Cucurbitaceae;NA;NA;NA
z-inconnu-Dicotyledonae;NA;NA;eliminer ce nom;NA
z-inconnue-Flypochaeris-glabra;NA;Hypochaeris-glabra;NA;NA
z-inconnu-Euphorbe;Euphorbia-sp;NA;NA;NA
z-inconnu-F…-eleva;NA;NA;eliminer ce nom;NA
z-inconnu-Fabacée;Fabaceae;NA;NA;NA
z-inconnu-fausse-viola;NA;NA;eliminer ce nom;NA
z-inconnu-faux-papaver;NA;NA;eliminer ce nom;NA
z-inconnu-feuille-velue;NA;NA;eliminer ce nom;NA
z-inconnu-fleur-blanche;NA;NA;eliminer ce nom;NA
z-inconnu-G10531Rosacea;Rosaceae;NA;NA;NA
z-inconnu-Graminée;Poaceae;NA;NA;NA
z-inconnu-Graminé-faux-dactyle;Poaceae;NA;NA;NA
z-inconnu-Graminé-poilu-oreillette;Poaceae;NA;NA;NA
z-inconnu-Grosse;NA;NA;NA;NA
z-inconnu-illisible;NA;NA;NA;NA
z-inconnu-kickxia-géant;Kickxia-sp;NA;NA;NA
z-inconnu-Lamiacée;Lamiaceae;NA;NA;NA
z-inconnu-Lamiacée;Lamiaceae;NA;NA;NA
z-inconnu-lapsana;Lapsana-sp;NA;NA;NA
z-inconnu-lierre;Hedera-helix;NA;NA;NA
z-inconnu-Liliacée;Allium oleraceum;NA;NA;NA
z-inconnu-liseron;Convolvulus-sp;NA;NA;NA
z-inconnu-luisante;NA;NA;eliminer ce nom;NA
z-inconnu-luisante-vivace;NA;NA;eliminer ce nom;NA
z-inconnu-mache;Valerianella-locusta;NA;NA;NA
z-inconnu-morelle;Solanum-sp;NA;NA;NA
z-inconnu-moutarde;Brassiceae;NA;NA;NA
z-inconnu-persil;Apiaceae;NA;NA;NA
z-inconnu-Persil-citron;Apiaceae;NA;NA;NA
z-inconnu-petroselinum;Apiaceae;NA;NA;NA
z-inconnu-Pinede;Z-Arbre;NA;NA;NA
z-inconnu-pissenlit;NA;Taraxacum-ruderale;NA;NA
z-inconnu-plantain;Plantago-sp;NA;NA;NA
z-inconnu-Poacée-petite;Poaceae;NA;NA;NA
z-inconnu-Poacée-sp.;Poaceae;NA;NA;NA
z-inconnu-poilue-non-kickxia;NA;NA;eliminer ce nom;NA
z-inconnu-point-blanc;NA;NA;eliminer ce nom;NA
z-inconnu-Polynagonacée;Polygonaceae;NA;NA;NA
z-inconnu-pourpre;NA;NA;eliminer ce nom;NA
z-inconnu-Rosacée-;Rosaceae;NA;NA;NA
z-inconnu-Rosette-sans-poil;NA;NA;eliminer ce nom;NA
z-inconnu-torti;NA;NA;eliminer ce nom;NA
z-inconnu-truc-blanc;NA;NA;eliminer ce nom;NA
z-inconu-X;NA;z-inconnu-X;NA;NA
