Numero AMM;Nom du produit;Biocontrole;Culture;CatÈgorie IFT;CatÈgorie de produit;Dose;Unite;Annee;Fich_initial;Date_Retrait
2000324;SPLIT EXPERT;0;Colza;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.05;L/HA;2015;oui;NA
2000324;DECIS EXPERT;0;Sorgho;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2000324;DECIS EXPERT;0;Seigle;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;DECIS EXPERT;0;Triticale;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;DECIS EXPERT;0;Colza;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.05;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Seigle;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Triticale;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Lin;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Lupin;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Vesce;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;KESHET;0;Moha;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2000332;COMET;0;Orge;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000333;OPERA;0;Feverole;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;OPERA;0;MaÔs;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;OPERA;0;Pois protÈagineux;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;IBEX;0;Pois fourrager;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;IBEX;0;Sorgho;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;IBEX;0;Lupin;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;IBEX;0;Orge;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;IBEX;0;Triticale;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;JachËres et cultures intermÈdiaires;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Tournesol;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Soja;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;BlÈ;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Moha;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Soja;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Lin;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;MaÔs;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000369;SIMPLON;0;Triticale;HERBICIDE;HERBICIDE;0.03;KG/HA;2015;oui;NA
2000369;SIMPLON;0;Epeautre;HERBICIDE;HERBICIDE;0.03;KG/HA;2015;oui;NA
2000369;SIMPLON;0;JachËres et cultures intermÈdiaires;HORS HERBICIDE;AUTRE;0.02;KG/HA;2015;oui;NA
2000369;SIMPLON;0;GraminÈes fourragËres;HERBICIDE;HERBICIDE;0.03;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;Soja;HERBICIDE;HERBICIDE;0.95;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;Luzerne;HERBICIDE;HERBICIDE;0.95;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;Lupin;HERBICIDE;HERBICIDE;0.95;KG/HA;2015;oui;NA
2000378;COVER +;0;Tournesol;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Pois protÈagineux;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Colza;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000380;FOLY R;0;Feverole;HERBICIDE;HERBICIDE;1;L/HA;2015;oui;NA
2000380;FOLY R;0;Colza;HERBICIDE;HERBICIDE;0.6;L/HA;2015;oui;NA
2000402;SIRLENE;0;Colza;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2000402;SIRLENE;0;Lupin;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2000420;MARONEE;0;Seigle;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000420;MARONEE;0;MaÔs;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000420;MARONEE;0;Lupin;HORS HERBICIDE;FONGICIDE;0.8;L/HA;2015;oui;NA
2000420;MARONEE;0;Lin;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000420;MARONEE;0;Orge;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000424;BUGGY UPPER 240;0;Pois protÈagineux;HERBICIDE;HERBICIDE;10.5;L/HA;2015;oui;NA
2000456;ISOFAR;0;Epeautre;HERBICIDE;HERBICIDE;2.4;L/HA;2015;oui;NA
2000456;ISOFAR;0;Triticale;HERBICIDE;HERBICIDE;2.4;L/HA;2015;oui;NA
2000462;DRIVER;0;Seigle;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2000462;DRIVER;0;Prairies;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2000462;DRIVER;0;Moha;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110037;DIKOAT;0;Soja;HERBICIDE;HERBICIDE;3;L/HA;2015;oui;NA
2110037;DIKOAT;0;Luzerne;HERBICIDE;HERBICIDE;3;L/HA;2015;oui;NA
2110037;DIKOAT;0;JachÍres et cultures intermÈdiaires;HERBICIDE;HERBICIDE;4;L/HA;2015;oui;NA
2110038;PIROX;0;Triticale;HERBICIDE;HERBICIDE;0.25;KG/HA;2015;oui;NA
2110041;PZ45;0;Colza;HORS HERBICIDE;FONGICIDE;1.33;L/HA;2015;oui;NA
2110041;PZ45;0;Orge;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2110048;TOPALURON SX;0;BlÈ;HERBICIDE;HERBICIDE;0.03;KG/HA;2015;oui;NA
2110048;TOPALURON SX;0;JachÍres et cultures intermÈdiaires;HORS HERBICIDE;AUTRE;0.02;KG/HA;2015;oui;NA
2110049;PROSATOP;0;Feverole;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2110051;PROTEBUR;0;BlÈ;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2110051;PROTEBUR;0;Colza;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2110051;PROTEBUR;0;Pois fourrager;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2110052;NAPAQUI;0;Feverole;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110052;NAPAQUI;0;Luzerne;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110052;NAPAQUI;0;Pois protÈagineux;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110052;NAPAQUI;0;GraminÈes fourragËres;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110052;NAPAQUI;0;Colza;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110054;INDOKA;0;Moha;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;KG/HA;2015;oui;NA
2110056;DEVATOL;1;Soja;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;DEVATOL;1;Vesce;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;DEVATOL;1;Luzerne;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;DEVATOL;1;Epeautre;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;DEVATOL;1;Tournesol;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;FINALSAN;1;JachÍres et cultures intermÈdiaires;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;FINALSAN;1;Pois protÈagineux;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;FINALSAN;1;TrÍfle;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;FINALSAN;1;GraminÈes fourragËres;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110056;FINALSAN;1;Colza;HERBICIDE;HERBICIDE;166;L/HA;2015;oui;NA
2110063;TRITON SG;0;Colza;HERBICIDE;HERBICIDE;0.174;KG/HA;2015;oui;NA
2110063;TRITON SG;0;Moha;HERBICIDE;HERBICIDE;0.174;KG/HA;2015;oui;NA
2110065;AMOK G;0;MaÔs;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110065;AMOK G;0;Pois fourrager;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110066;AMBASSADOR;0;Lin;HERBICIDE;HERBICIDE;1.2;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Lin;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Lupin;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Epeautre;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Pois protÈagineux;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Colza;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;TrÍfle;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110067;AAT GLY360;0;Vesce;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;BCP GLYPHO 360;0;Lin;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;Orge;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;Soja;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;JachÍres et cultures intermÈdiaires;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;Prairies;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;Pois fourrager;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;VIVAL 360;0;Tournesol;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;CATAMARAN BCP 360;0;Epeautre;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;CATAMARAN BCP 360;0;Lupin;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;CATAMARAN BCP 360;0;Feverole;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;CATAMARAN BCP 360;0;Tournesol;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;FIGARO 360;0;TrÍfle;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2110068;FIGARO 360;0;Triticale;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2000316;JUDOKA;0;Orge;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;L/HA;2015;oui;NA
2000316;JUDOKA;0;Feverole;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.2;L/HA;2015;oui;NA
2000316;JUDOKA;0;Pois protÈagineux;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.2;L/HA;2015;oui;NA
2000316;JUDOKA;0;Seigle;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;L/HA;2015;oui;NA
2000316;MANDARIN PRO;0;Orge;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;L/HA;2015;oui;NA
2000316;MANDARIN PRO;0;Seigle;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;L/HA;2015;oui;NA
2000316;TATAMI;0;BlÈ;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.125;L/HA;2015;oui;NA
2000316;TATAMI;0;Feverole;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.2;L/HA;2015;oui;NA
2000316;TATAMI;0;Colza;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.3;L/HA;2015;oui;NA
2000324;SPLIT EXPERT;0;Feverole;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;DECIS EXPERT;0;MaÔs;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Pois fourrager;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;MaÔs;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;Pois protÈagineux;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;PEARL EXPERT;0;BlÈ;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;KESHET;0;Vesce;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;KESHET;0;Epeautre;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000324;KESHET;0;Orge;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.063;L/HA;2015;oui;NA
2000332;COMET;0;Seigle;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000332;COMET;0;BlÈ;HORS HERBICIDE;FONGICIDE;1;L/HA;2015;oui;NA
2000333;OPERA;0;Sorgho;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;OPERA;0;Moha;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;OPERA;0;Triticale;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;IBEX;0;Pois protÈagineux;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;BAUXIT;0;Pois fourrager;HORS HERBICIDE;FONGICIDE;0.75;L/HA;2015;oui;NA
2000333;BAUXIT;0;MaÔs;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;BAUXIT;0;Epeautre;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000333;BAUXIT;0;Triticale;HORS HERBICIDE;FONGICIDE;1.5;L/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Colza;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Luzerne;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;ROUNDUP ENERGY;0;Triticale;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;JachÍres et cultures intermÈdiaires;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Epeautre;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Prairies;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Orge;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Luzerne;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Triticale;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Moha;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000341;RADICAL H;0;Vesce;HERBICIDE;HERBICIDE;3.7;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;GraminÈes fourragËres;HERBICIDE;HERBICIDE;0.3;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;Vesce;HERBICIDE;HERBICIDE;0.95;KG/HA;2015;oui;NA
2000374;RAPSOL WG;0;Lin;HERBICIDE;HERBICIDE;0.95;KG/HA;2015;oui;NA
2000378;COVER +;0;Pois fourrager;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;BlÈ;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Luzerne;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Seigle;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Lin;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000378;COVER +;0;Orge;HORS HERBICIDE;AUTRE;;SANS DOSE;2015;oui;NA
2000380;FOLY R;0;Soja;HERBICIDE;HERBICIDE;1;L/HA;2015;oui;NA
2000380;FOLY R;0;Pois fourrager;HERBICIDE;HERBICIDE;1;L/HA;2015;oui;NA
2000380;FOLY R;0;TrÍfle;HERBICIDE;HERBICIDE;1;L/HA;2015;oui;NA
2000391;BASE DEBROUSS EV;0;Colza;HERBICIDE;HERBICIDE;2;L/HL;2015;oui;NA
2000391;BASE DEBROUSS EV;0;BlÈ;HERBICIDE;HERBICIDE;2;L/HL;2015;oui;NA
2130053;DRAGON EC;0;Vesce;HERBICIDE;HERBICIDE;7;L/HA;2015;oui;NA
2130053;DRAGON EC;0;Feverole;HERBICIDE;HERBICIDE;6;L/HA;2015;oui;NA
2130053;DRAGON EC;0;Pois fourrager;HERBICIDE;HERBICIDE;6;L/HA;2015;oui;NA
2130055;AGRIGUARD ETHOFUMESATE 200;0;GraminÈes fourragËres;HERBICIDE;HERBICIDE;5;L/HA;2015;oui;NA
2130059;ALICANTE;0;MaÔs;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.15;L/HA;2015;oui;NA
2130059;ALICANTE;0;Seigle;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2130059;ALICANTE;0;Orge;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.075;L/HA;2015;oui;NA
2130059;CORDOBA;0;MaÔs;HORS HERBICIDE;INSECTICIDE / ACARICIDE;0.15;L/HA;2015;oui;NA
